,Precinct,Race,Candidate,Total Votes,Vote Percentage
6152,3103,Mayor,Gary Allen,10,10.1
6153,3103,Mayor,Michael Samaniego,6,6.06
6154,3103,Mayor,Diana Flores Uriegas,1,1.01
6157,3103,District 10,Madison Gutierrez,10,10.64
6158,3103,District 10,Robert Flores,12,12.77
6159,3103,District 10,Margaret Sherwood,3,3.19
6160,3103,District 10,Rick Otley,3,3.19
6161,3103,District 10,Bryan R. Martin,5,5.32
6162,3103,District 10,Marc Whyte,47,50.0
6163,3103,District 10,Joel Solis,14,14.89
6166,3104,Mayor,Ray Adam Basaldua,8,0.95
6167,3104,Mayor,Christopher T. Schuchardt,270,32.18
6168,3104,Mayor,Christopher Longoria,9,1.07
6169,3104,Mayor,Ron Nirenberg,440,52.44
6170,3104,Mayor,Armando Dominguez,3,0.36
6171,3104,Mayor,Michael Idrogo,2,0.24
6172,3104,Mayor,Gary Allen,73,8.7
6173,3104,Mayor,Michael Samaniego,24,2.86
6174,3104,Mayor,Diana Flores Uriegas,10,1.19
6177,3104,District 9,Jarrett Lipman,214,25.75
6178,3104,District 9,David Allan Lara,57,6.86
6179,3104,District 9,John Courage,532,64.02
6180,3104,District 9,Dominque Lui,28,3.37
6183,3105,Mayor,Ray Adam Basaldua,15,2.19
6184,3105,Mayor,Christopher T. Schuchardt,189,27.63
6185,3105,Mayor,Christopher Longoria,14,2.05
6186,3105,Mayor,Ron Nirenberg,323,47.22
6187,3105,Mayor,Armando Dominguez,1,0.15
6188,3105,Mayor,Michael Idrogo,1,0.15
6189,3105,Mayor,Gary Allen,52,7.6
6190,3105,Mayor,Michael Samaniego,68,9.94
6191,3105,Mayor,Diana Flores Uriegas,21,3.07
6194,3105,District 10,Madison Gutierrez,42,6.3
6195,3105,District 10,Robert Flores,63,9.45
6196,3105,District 10,Margaret Sherwood,24,3.6
6197,3105,District 10,Rick Otley,34,5.1
6198,3105,District 10,Bryan R. Martin,49,7.35
6199,3105,District 10,Marc Whyte,377,56.52
6200,3105,District 10,Joel Solis,78,11.69
6203,3108,Mayor,Ray Adam Basaldua,1,0.21
6204,3108,Mayor,Christopher T. Schuchardt,176,37.61
6205,3108,Mayor,Christopher Longoria,6,1.28
6206,3108,Mayor,Ron Nirenberg,222,47.44
6207,3108,Mayor,Armando Dominguez,2,0.43
6208,3108,Mayor,Michael Idrogo,1,0.21
6209,3108,Mayor,Gary Allen,36,7.69
6210,3108,Mayor,Michael Samaniego,20,4.27
6211,3108,Mayor,Diana Flores Uriegas,4,0.85
6214,3108,District 10,Madison Gutierrez,16,3.49
6215,3108,District 10,Robert Flores,22,4.8
6216,3108,District 10,Margaret Sherwood,14,3.06
6217,3108,District 10,Rick Otley,52,11.35
6218,3108,District 10,Bryan R. Martin,27,5.9
6219,3108,District 10,Marc Whyte,272,59.39
6220,3108,District 10,Joel Solis,55,12.01
6223,3109,Mayor,Ray Adam Basaldua,7,1.46
6224,3109,Mayor,Christopher T. Schuchardt,113,23.59
6225,3109,Mayor,Christopher Longoria,5,1.04
6226,3109,Mayor,Ron Nirenberg,275,57.41
6227,3109,Mayor,Armando Dominguez,1,0.21
6228,3109,Mayor,Michael Idrogo,1,0.21
6229,3109,Mayor,Gary Allen,29,6.05
6230,3109,Mayor,Michael Samaniego,36,7.52
6231,3109,Mayor,Diana Flores Uriegas,12,2.51
6234,3109,District 8,Manny Pelaez,293,70.1
6235,3109,District 8,Cesario Garcia,125,29.9
6238,3110,Mayor,Ray Adam Basaldua,4,0.67
6239,3110,Mayor,Christopher T. Schuchardt,150,25.08
6240,3110,Mayor,Christopher Longoria,11,1.84
6241,3110,Mayor,Ron Nirenberg,316,52.84
6242,3110,Mayor,Armando Dominguez,2,0.33
6243,3110,Mayor,Michael Idrogo,5,0.84
6244,3110,Mayor,Gary Allen,70,11.71
6245,3110,Mayor,Michael Samaniego,25,4.18
6246,3110,Mayor,Diana Flores Uriegas,15,2.51
6249,3110,District 10,Madison Gutierrez,34,5.88
6250,3110,District 10,Robert Flores,46,7.96
6251,3110,District 10,Margaret Sherwood,23,3.98
6252,3110,District 10,Rick Otley,32,5.54
6253,3110,District 10,Bryan R. Martin,34,5.88
6254,3110,District 10,Marc Whyte,324,56.06
6255,3110,District 10,Joel Solis,85,14.71
6258,3111,Mayor,Ray Adam Basldua,0,
6259,3111,Mayor,Christopher T. Schuchardt,0,
6260,3111,Mayor,Christopher Longoria,0,
6261,3111,Mayor,Ron Nirenberg,0,
6262,3111,Mayor,Armando Dominguez,0,
6263,3111,Mayor,Michael Idrogo,0,
6264,3111,Mayor,Gary Allen,0,
6265,3111,Mayor,Michael Idrogo,0,
6266,3111,Mayor,Diana Flores Uriegas,0,
6269,3111,District 1,Jeremy Roberts,0,
6270,3111,District 1,Roberto Rios Ortega,0,
6271,3111,District 1,Sukh Kaur,0,
6272,3111,District 1,Ernest Salinas,0,
6273,3111,District 1,Lauro Bustamante,0,
6274,3111,District 1,Mario Bravo,0,
6275,3111,District 1,William T. Lamar-Boone,0,
6278,3112,Mayor,Ray Adam Basaldua,2,0.8
6279,3112,Mayor,Christopher T. Schuchardt,56,22.4
6280,3112,Mayor,Christopher Longoria,6,2.4
6281,3112,Mayor,Ron Nirenberg,157,62.8
6282,3112,Mayor,Armando Dominguez,1,0.4
6283,3112,Mayor,Michael Idrogo,2,0.8
6284,3112,Mayor,Gary Allen,11,4.4
6285,3112,Mayor,Michael Samaniego,8,3.2
6286,3112,Mayor,Diana Flores Uriegas,7,2.8
6289,3112,District 8,Manny Pelaez,140,65.73
6290,3112,District 8,Cesario Garcia,73,34.27
6293,3113,Mayor,Ray Adam Basaldua,3,2.8
6294,3113,Mayor,Christopher T. Schuchardt,19,17.76
6295,3113,Mayor,Christopher Longoria,2,1.87
6296,3113,Mayor,Ron Nirenberg,63,58.88
6297,3113,Mayor,Armando Dominguez,1,0.93
6298,3113,Mayor,Michael Idrogo,1,0.93
6299,3113,Mayor,Gary Allen,8,7.48
6300,3113,Mayor,Michael Samaniego,6,5.61
6301,3113,Mayor,Diana Flores Uriegas,4,3.74
6304,3113,District 8,Manny Pelaez,60,68.97
6305,3113,District 8,Cesario Garcia,27,31.03
6308,3114,Mayor,Ray Adam Basaldua,9,1.19
6309,3114,Mayor,Christopher T. Schuchardt,305,40.18
6310,3114,Mayor,Christopher Longoria,11,1.45
6311,3114,Mayor,Ron Nirenberg,338,44.53
6312,3114,Mayor,Armando Dominguez,2,0.26
6313,3114,Mayor,Michael Idrogo,1,0.13
6314,3114,Mayor,Gary Allen,65,8.56
6315,3114,Mayor,Michael Samaniego,20,2.64
6316,3114,Mayor,Diana Flores Uriegas,8,1.05
6319,3114,District 9,Jarrett Lipman,279,36.9
6320,3114,District 9,David Allan Lara,19,2.51
6321,3114,District 9,John Courage,450,59.52
6322,3114,District 9,Dominque Lui,8,1.06
6325,3115,Mayor,Ray Adam Basaldua,1,0.16
6326,3115,Mayor,Christopher T. Schuchardt,176,28.21
6327,3115,Mayor,Christopher Longoria,10,1.6
6328,3115,Mayor,Ron Nirenberg,388,62.18
6329,3115,Mayor,Armando Dominguez,2,0.32
6330,3115,Mayor,Michael Idrogo,1,0.16
6331,3115,Mayor,Gary Allen,27,4.33
6332,3115,Mayor,Michael Samaniego,15,2.4
6333,3115,Mayor,Diana Flores Uriegas,4,0.64
6336,3115,District 8,Manny Pelaez,465,80.17
6337,3115,District 8,Cesario Garcia,115,19.83
6340,3116,Mayor,Ray Adam Basaldua,0,0.0
6341,3116,Mayor,Christopher T. Schuchardt,2,20.0
6342,3116,Mayor,Christopher Longoria,0,0.0
6343,3116,Mayor,Ron Nirenberg,6,60.0
6344,3116,Mayor,Armando Dominguez,0,0.0
6345,3116,Mayor,Michael Idrogo,0,0.0
6346,3116,Mayor,Gary Allen,1,10.0
6347,3116,Mayor,Michael Samaniego,1,10.0
6348,3116,Mayor,Diana Flores Uriegas,0,0.0
6351,3116,District 9,Jarrett Lipman,2,20.0
6352,3116,District 9,David Allan Lara,1,10.0
6353,3116,District 9,John Courage,6,60.0
6354,3116,District 9,Dominque Lui,1,10.0
6357,3117,Mayor,Ray Adam Basaldua,14,1.27
6358,3117,Mayor,Christopher T. Schuchardt,359,32.58
6359,3117,Mayor,Christopher Longoria,22,2.0
6360,3117,Mayor,Ron Nirenberg,579,52.54
6361,3117,Mayor,Armando Dominguez,4,0.36
6362,3117,Mayor,Michael Idrogo,3,0.27
6363,3117,Mayor,Gary Allen,62,5.63
6364,3117,Mayor,Michael Samaniego,45,4.08
6365,3117,Mayor,Diana Flores Uriegas,14,1.27
6368,3117,District 9,Jarrett Lipman,240,22.56
6369,3117,District 9,David Allan Lara,80,7.52
6370,3117,District 9,John Courage,709,66.64
6371,3117,District 9,Dominque Lui,35,3.29
6374,3118,Mayor,Ray Adam Basaldua,4,1.52
6375,3118,Mayor,Christopher T. Schuchardt,53,20.15
6376,3118,Mayor,Christopher Longoria,8,3.04
6377,3118,Mayor,Ron Nirenberg,160,60.84
6378,3118,Mayor,Armando Dominguez,0,0.0
6379,3118,Mayor,Michael Idrogo,0,0.0
6380,3118,Mayor,Gary Allen,27,10.27
6381,3118,Mayor,Michael Samaniego,8,3.04
6382,3118,Mayor,Diana Flores Uriegas,3,1.14
6385,3118,District 10,Madison Gutierrez,9,3.5
6386,3118,District 10,Robert Flores,14,5.45
6387,3118,District 10,Margaret Sherwood,9,3.5
6388,3118,District 10,Rick Otley,8,3.11
6389,3118,District 10,Bryan R. Martin,12,4.67
6390,3118,District 10,Marc Whyte,156,60.7
6391,3118,District 10,Joel Solis,49,19.07
6394,3119,Mayor,Ray Adam Basaldua,9,1.26
6395,3119,Mayor,Christopher T. Schuchardt,223,31.15
6396,3119,Mayor,Christopher Longoria,8,1.12
6397,3119,Mayor,Ron Nirenberg,406,56.7
6398,3119,Mayor,Armando Dominguez,2,0.28
6399,3119,Mayor,Michael Idrogo,2,0.28
6400,3119,Mayor,Gary Allen,34,4.75
6401,3119,Mayor,Michael Samaniego,17,2.37
6402,3119,Mayor,Diana Flores Uriegas,15,2.09
6405,3119,District 9,Jarrett Lipman,167,23.93
6406,3119,District 9,David Allan Lara,28,4.01
6407,3119,District 9,John Courage,466,66.76
6408,3119,District 9,Dominque Lui,37,5.3
6411,3120,Mayor,Ray Adam Basaldua,4,0.62
6412,3120,Mayor,Christopher T. Schuchardt,178,27.51
6413,3120,Mayor,Christopher Longoria,15,2.32
6414,3120,Mayor,Ron Nirenberg,341,52.7
6415,3120,Mayor,Armando Dominguez,3,0.46
6416,3120,Mayor,Michael Idrogo,2,0.31
6417,3120,Mayor,Gary Allen,63,9.74
6418,3120,Mayor,Michael Samaniego,25,3.86
6419,3120,Mayor,Diana Flores Uriegas,16,2.47
6422,3120,District 10,Madison Gutierrez,50,8.16
6423,3120,District 10,Robert Flores,57,9.3
6424,3120,District 10,Margaret Sherwood,44,7.18
6425,3120,District 10,Rick Otley,21,3.43
6426,3120,District 10,Bryan R. Martin,54,8.81
6427,3120,District 10,Marc Whyte,289,47.15
6428,3120,District 10,Joel Solis,98,15.99
6431,3121,Mayor,Ray Adam Basaldua,11,1.85
6432,3121,Mayor,Christopher T. Schuchardt,160,26.85
6433,3121,Mayor,Christopher Longoria,21,3.52
6434,3121,Mayor,Ron Nirenberg,317,53.19
6435,3121,Mayor,Armando Dominguez,5,0.84
6436,3121,Mayor,Michael Idrogo,1,0.17
6437,3121,Mayor,Gary Allen,55,9.23
6438,3121,Mayor,Michael Samaniego,15,2.52
6439,3121,Mayor,Diana Flores Uriegas,11,1.85
6442,3121,District 9,Jarrett Lipman,166,28.52
6443,3121,District 9,David Allan Lara,30,5.15
6444,3121,District 9,John Courage,356,61.17
6445,3121,District 9,Dominque Lui,30,5.15
6448,3122,Mayor,Ray Adam Basaldua,4,0.69
6449,3122,Mayor,Christopher T. Schuchardt,164,28.28
6450,3122,Mayor,Christopher Longoria,15,2.59
6451,3122,Mayor,Ron Nirenberg,310,53.45
6452,3122,Mayor,Armando Dominguez,4,0.69
6453,3122,Mayor,Michael Idrogo,1,0.17
6454,3122,Mayor,Gary Allen,60,10.34
6455,3122,Mayor,Michael Samaniego,13,2.24
6456,3122,Mayor,Diana Flores Uriegas,9,1.55
6459,3122,District 9,Jarrett Lipman,122,21.75
6460,3122,District 9,David Allan Lara,28,4.99
6461,3122,District 9,John Courage,390,69.52
6462,3122,District 9,Dominque Lui,21,3.74
6465,3123,Mayor,Ray Adam Basldua,0,
6466,3123,Mayor,Christopher T. Schuchardt,0,
6467,3123,Mayor,Christopher Longoria,0,
6468,3123,Mayor,Ron Nirenberg,0,
6469,3123,Mayor,Armando Dominguez,0,
6470,3123,Mayor,Michael Idrogo,0,
6471,3123,Mayor,Gary Allen,0,
6472,3123,Mayor,Michael Idrogo,0,
6473,3123,Mayor,Diana Flores Uriegas,0,
6476,3123,District 9,Jarrett Lipman,0,
6477,3123,District 9,David Allan Lara,0,
6478,3123,District 9,John Courage,0,
6479,3123,District 9,Dominque,0,
6482,3125,Mayor,Ray Adam Basldua,0,
6483,3125,Mayor,Christopher T. Schuchardt,0,
6484,3125,Mayor,Christopher Longoria,0,
6485,3125,Mayor,Ron Nirenberg,0,
6486,3125,Mayor,Armando Dominguez,0,
6487,3125,Mayor,Michael Idrogo,0,
6488,3125,Mayor,Gary Allen,0,
6489,3125,Mayor,Michael Idrogo,0,
6490,3125,Mayor,Diana Flores Uriegas,0,
6493,3125,District 9,Jarrett Lipman,0,
6494,3125,District 9,David Allan Lara,0,
6495,3125,District 9,John Courage,0,
6496,3125,District 9,Dominque,0,
6499,3127,Mayor,Ray Adam Basaldua,0,0.0
6500,3127,Mayor,Christopher T. Schuchardt,148,33.33
6501,3127,Mayor,Christopher Longoria,5,1.13
6502,3127,Mayor,Ron Nirenberg,221,49.77
6503,3127,Mayor,Armando Dominguez,2,0.45
6504,3127,Mayor,Michael Idrogo,1,0.23
6505,3127,Mayor,Gary Allen,43,9.68
6506,3127,Mayor,Michael Samaniego,17,3.83
6507,3127,Mayor,Diana Flores Uriegas,7,1.58
6510,3127,District 9,Jarrett Lipman,121,28.01
6511,3127,District 9,David Allan Lara,27,6.25
6512,3127,District 9,John Courage,267,61.81
6513,3127,District 9,Dominque Lui,17,3.94
6516,3129,Mayor,Ray Adam Basaldua,3,0.47
6517,3129,Mayor,Christopher T. Schuchardt,153,23.98
6518,3129,Mayor,Christopher Longoria,11,1.72
6519,3129,Mayor,Ron Nirenberg,391,61.29
6520,3129,Mayor,Armando Dominguez,1,0.16
6521,3129,Mayor,Michael Idrogo,0,0.0
6522,3129,Mayor,Gary Allen,30,4.7
6523,3129,Mayor,Michael Samaniego,36,5.64
6524,3129,Mayor,Diana Flores Uriegas,13,2.04
6527,3129,District 8,Manny Pelaez,355,61.95
6528,3129,District 8,Cesario Garcia,218,38.05
6531,3130,Mayor,Ray Adam Basaldua,4,0.63
6532,3130,Mayor,Christopher T. Schuchardt,272,43.04
6533,3130,Mayor,Christopher Longoria,7,1.11
6534,3130,Mayor,Ron Nirenberg,279,44.15
6535,3130,Mayor,Armando Dominguez,1,0.16
6536,3130,Mayor,Michael Idrogo,0,0.0
6537,3130,Mayor,Gary Allen,43,6.8
6538,3130,Mayor,Michael Samaniego,18,2.85
6539,3130,Mayor,Diana Flores Uriegas,8,1.27
6542,3130,District 9,Jarrett Lipman,221,37.08
6543,3130,District 9,David Allan Lara,19,3.19
6544,3130,District 9,John Courage,347,58.22
6545,3130,District 9,Dominque Lui,9,1.51
6548,3131,Mayor,Ray Adam Basldua,0,
6549,3131,Mayor,Christopher T. Schuchardt,0,
6550,3131,Mayor,Christopher Longoria,0,
6551,3131,Mayor,Ron Nirenberg,0,
6552,3131,Mayor,Armando Dominguez,0,
6553,3131,Mayor,Michael Idrogo,0,
6554,3131,Mayor,Gary Allen,0,
6555,3131,Mayor,Michael Idrogo,0,
6556,3131,Mayor,Diana Flores Uriegas,0,
6559,3131,District 1,Jeremy Roberts,0,
6560,3131,District 1,Roberto Rios Ortega,0,
6561,3131,District 1,Sukh Kaur,0,
6562,3131,District 1,Ernest Salinas,0,
6563,3131,District 1,Lauro Bustamante,0,
6564,3131,District 1,Mario Bravo,0,
6565,3131,District 1,William T. Lamar-Boone,0,
6568,3132,Mayor,Ray Adam Basaldua,4,2.48
6569,3132,Mayor,Christopher T. Schuchardt,27,16.77
6570,3132,Mayor,Christopher Longoria,4,2.48
6571,3132,Mayor,Ron Nirenberg,103,63.98
6572,3132,Mayor,Armando Dominguez,1,0.62
6573,3132,Mayor,Michael Idrogo,4,2.48
6574,3132,Mayor,Gary Allen,15,9.32
6575,3132,Mayor,Michael Samaniego,2,1.24
6576,3132,Mayor,Diana Flores Uriegas,1,0.62
6579,3132,District 9,Jarrett Lipman,21,14.38
6580,3132,District 9,David Allan Lara,18,12.33
6581,3132,District 9,John Courage,91,62.33
6582,3132,District 9,Dominque Lui,16,10.96
6585,3134,Mayor,Ray Adam Basaldua,3,0.8
6586,3134,Mayor,Christopher T. Schuchardt,90,24.06
6587,3134,Mayor,Christopher Longoria,5,1.34
6588,3134,Mayor,Ron Nirenberg,217,58.02
6589,3134,Mayor,Armando Dominguez,3,0.8
6590,3134,Mayor,Michael Idrogo,1,0.27
6591,3134,Mayor,Gary Allen,25,6.68
6592,3134,Mayor,Michael Samaniego,17,4.55
6593,3134,Mayor,Diana Flores Uriegas,13,3.48
6596,3134,District 8,Manny Pelaez,250,72.25
6597,3134,District 8,Cesario Garcia,96,27.75
6600,3135,Mayor,Ray Adam Basaldua,3,1.32
6601,3135,Mayor,Christopher T. Schuchardt,47,20.7
6602,3135,Mayor,Christopher Longoria,3,1.32
6603,3135,Mayor,Ron Nirenberg,161,70.93
6604,3135,Mayor,Armando Dominguez,0,0.0
6605,3135,Mayor,Michael Idrogo,0,0.0
6606,3135,Mayor,Gary Allen,10,4.41
6607,3135,Mayor,Michael Samaniego,2,0.88
6608,3135,Mayor,Diana Flores Uriegas,1,0.44
6611,3135,District 8,Manny Pelaez,148,75.51
6612,3135,District 8,Cesario Garcia,48,24.49
6615,3136,Mayor,Ray Adam Basaldua,2,1.34
6616,3136,Mayor,Christopher T. Schuchardt,29,19.46
6617,3136,Mayor,Christopher Longoria,3,2.01
6618,3136,Mayor,Ron Nirenberg,87,58.39
6619,3136,Mayor,Armando Dominguez,0,0.0
6620,3136,Mayor,Michael Idrogo,1,0.67
6621,3136,Mayor,Gary Allen,14,9.4
6622,3136,Mayor,Michael Samaniego,7,4.7
6623,3136,Mayor,Diana Flores Uriegas,6,4.03
6626,3136,District 9,Jarrett Lipman,33,23.91
6627,3136,District 9,David Allan Lara,15,10.87
6628,3136,District 9,John Courage,77,55.8
6629,3136,District 9,Dominque Lui,13,9.42
6632,3138,Mayor,Ray Adam Basaldua,0,0.0
6633,3138,Mayor,Christopher T. Schuchardt,5,35.71
6634,3138,Mayor,Christopher Longoria,1,7.14
6635,3138,Mayor,Ron Nirenberg,4,28.57
6636,3138,Mayor,Armando Dominguez,0,0.0
6637,3138,Mayor,Michael Idrogo,0,0.0
6638,3138,Mayor,Gary Allen,2,14.29
6639,3138,Mayor,Michael Samaniego,1,7.14
6640,3138,Mayor,Diana Flores Uriegas,1,7.14
6643,3138,District 9,Jarrett Lipman,3,21.43
6644,3138,District 9,David Allan Lara,2,14.29
6645,3138,District 9,John Courage,9,64.29
6646,3138,District 9,Dominque Lui,0,0.0
6649,3139,Mayor,Ray Adam Basaldua,5,1.86
6650,3139,Mayor,Christopher T. Schuchardt,74,27.51
6651,3139,Mayor,Christopher Longoria,13,4.83
6652,3139,Mayor,Ron Nirenberg,147,54.65
6653,3139,Mayor,Armando Dominguez,0,0.0
6654,3139,Mayor,Michael Idrogo,2,0.74
6655,3139,Mayor,Gary Allen,15,5.58
6656,3139,Mayor,Michael Samaniego,9,3.35
6657,3139,Mayor,Diana Flores Uriegas,4,1.49
6660,3139,District 9,Jarrett Lipman,65,25.59
6661,3139,District 9,David Allan Lara,17,6.69
6662,3139,District 9,John Courage,162,63.78
6663,3139,District 9,Dominque Lui,10,3.94
6666,3140,Mayor,Ray Adam Basaldua,0,0.0
6667,3140,Mayor,Christopher T. Schuchardt,2,50.0
6668,3140,Mayor,Christopher Longoria,0,0.0
6669,3140,Mayor,Ron Nirenberg,2,50.0
6670,3140,Mayor,Armando Dominguez,0,0.0
6671,3140,Mayor,Michael Idrogo,0,0.0
6672,3140,Mayor,Gary Allen,0,0.0
6673,3140,Mayor,Michael Samaniego,0,0.0
6674,3140,Mayor,Diana Flores Uriegas,0,0.0
6677,3140,District 2,Rose Requenez Hill,1,33.33
6678,3140,District 2,Edward Earl Giles,0,0.0
6679,3140,District 2,Patrick Jones,0,0.0
6680,3140,District 2,Carla Walker,0,0.0
6681,3140,District 2,Jalen McKee-Rodriguez,2,66.67
6682,3140,District 2,Denise McVea,0,0.0
6683,3140,District 2,James M. Guild,0,0.0
6684,3140,District 2,Michael John Good,0,0.0
6685,3140,District 2,Wendell Carson,0,0.0
6686,3140,District 2,Denise Gutierrez,0,0.0
6689,3141,Mayor,Ray Adam Basaldua,0,0.0
6690,3141,Mayor,Christopher T. Schuchardt,0,0.0
6691,3141,Mayor,Christopher Longoria,0,0.0
6692,3141,Mayor,Ron Nirenberg,1,100.0
6693,3141,Mayor,Armando Dominguez,0,0.0
6694,3141,Mayor,Michael Idrogo,0,0.0
6695,3141,Mayor,Gary Allen,0,0.0
6696,3141,Mayor,Michael Samaniego,0,0.0
6697,3141,Mayor,Diana Flores Uriegas,0,0.0
6700,3141,District 2,Rose Requenez,0,
6701,3141,District 2,Edward Earl Giles,0,
6702,3141,District 2,Patrick Jones,0,
6703,3141,District 2,Carla Walker,0,
6704,3141,District 2,Jalen McKee-Rodriguez,0,
6705,3141,District 2,Denise Gutierrez,0,
6706,3141,District 2,James M. Guild,0,
6707,3141,District 2,Michael John Good,0,
6708,3141,District 2,Wendell Carson,0,
6709,3141,District 2,Denise Gutierrez,0,
6712,3142,Mayor,Ray Adam Basaldua,1,4.17
6713,3142,Mayor,Christopher T. Schuchardt,0,0.0
6714,3142,Mayor,Christopher Longoria,0,0.0
6715,3142,Mayor,Ron Nirenberg,19,79.17
6716,3142,Mayor,Armando Dominguez,0,0.0
6717,3142,Mayor,Michael Idrogo,0,0.0
6718,3142,Mayor,Gary Allen,4,16.67
6719,3142,Mayor,Michael Samaniego,0,0.0
6720,3142,Mayor,Diana Flores Uriegas,0,0.0
6723,3142,District 8,Manny Pelaez,11,57.89
6724,3142,District 8,Cesario Garcia,8,42.11
6727,3143,Mayor,Ray Adam Basaldua,4,1.09
6728,3143,Mayor,Christopher T. Schuchardt,93,25.34
6729,3143,Mayor,Christopher Longoria,7,1.91
6730,3143,Mayor,Ron Nirenberg,200,54.5
6731,3143,Mayor,Armando Dominguez,0,0.0
6732,3143,Mayor,Michael Idrogo,4,1.09
6733,3143,Mayor,Gary Allen,30,8.17
6734,3143,Mayor,Michael Samaniego,17,4.63
6735,3143,Mayor,Diana Flores Uriegas,12,3.27
6738,3143,District 8,Manny Pelaez,229,68.36
6739,3143,District 8,Cesario Garcia,106,31.64
6742,3145,Mayor,Ray Adam Basaldua,5,0.61
6743,3145,Mayor,Christopher T. Schuchardt,252,30.51
6744,3145,Mayor,Christopher Longoria,18,2.18
6745,3145,Mayor,Ron Nirenberg,450,54.48
6746,3145,Mayor,Armando Dominguez,7,0.85
6747,3145,Mayor,Michael Idrogo,0,0.0
6748,3145,Mayor,Gary Allen,67,8.11
6749,3145,Mayor,Michael Samaniego,24,2.91
6750,3145,Mayor,Diana Flores Uriegas,3,0.36
6753,3145,District 9,Jarrett Lipman,188,24.48
6754,3145,District 9,David Allan Lara,62,8.07
6755,3145,District 9,John Courage,478,62.24
6756,3145,District 9,Dominque Lui,40,5.21
6759,3146,Mayor,Ray Adam Basaldua,15,2.25
6760,3146,Mayor,Christopher T. Schuchardt,123,18.41
6761,3146,Mayor,Christopher Longoria,13,1.95
6762,3146,Mayor,Ron Nirenberg,432,64.67
6763,3146,Mayor,Armando Dominguez,3,0.45
6764,3146,Mayor,Michael Idrogo,3,0.45
6765,3146,Mayor,Gary Allen,51,7.63
6766,3146,Mayor,Michael Samaniego,8,1.2
6767,3146,Mayor,Diana Flores Uriegas,20,2.99
6770,3146,District 8,Manny Pelaez,425,72.9
6771,3146,District 8,Cesario Garcia,158,27.1
6774,3147,Mayor,Ray Adam Basaldua,1,9.09
6775,3147,Mayor,Christopher T. Schuchardt,1,9.09
6776,3147,Mayor,Christopher Longoria,0,0.0
6777,3147,Mayor,Ron Nirenberg,7,63.64
6778,3147,Mayor,Armando Dominguez,0,0.0
6779,3147,Mayor,Michael Idrogo,0,0.0
6780,3147,Mayor,Gary Allen,2,18.18
6781,3147,Mayor,Michael Samaniego,0,0.0
6782,3147,Mayor,Diana Flores Uriegas,0,0.0
6785,3147,District 1,Jeremy Roberts,4,50.0
6786,3147,District 1,Roberto Rios Ortega,0,0.0
6787,3147,District 1,Sukh Kaur,4,50.0
6788,3147,District 1,Ernest Salinas,0,0.0
6789,3147,District 1,Lauro Bustamante,0,0.0
6790,3147,District 1,Mario Bravo,0,0.0
6791,3147,District 1,William T. Lamar-Boone,0,0.0
6794,3149,Mayor,Ray Adam Basaldua,3,2.91
6795,3149,Mayor,Christopher T. Schuchardt,7,6.8
6796,3149,Mayor,Christopher Longoria,3,2.91
6797,3149,Mayor,Ron Nirenberg,47,45.63
6798,3149,Mayor,Armando Dominguez,6,5.83
6799,3149,Mayor,Michael Idrogo,0,0.0
6800,3149,Mayor,Gary Allen,5,4.85
6801,3149,Mayor,Michael Samaniego,3,2.91
6802,3149,Mayor,Diana Flores Uriegas,29,28.16
6805,3149,District 8,Manny Pelaez,47,58.75
6806,3149,District 8,Cesario Garcia,33,41.25
6809,3150,Mayor,Ray Adam Basaldua,0,0.0
6810,3150,Mayor,Christopher T. Schuchardt,1,9.09
6811,3150,Mayor,Christopher Longoria,0,0.0
6812,3150,Mayor,Ron Nirenberg,10,90.91
6813,3150,Mayor,Armando Dominguez,0,0.0
6814,3150,Mayor,Michael Idrogo,0,0.0
6815,3150,Mayor,Gary Allen,0,0.0
6816,3150,Mayor,Michael Samaniego,0,0.0
6817,3150,Mayor,Diana Flores Uriegas,0,0.0
6820,3150,District 1,Jeremy Roberts,3,27.27
6821,3150,District 1,Roberto Rios Ortega,1,9.09
6822,3150,District 1,Sukh Kaur,7,63.64
6823,3150,District 1,Ernest Salinas,0,0.0
6824,3150,District 1,Lauro Bustamante,0,0.0
6825,3150,District 1,Mario Bravo,0,0.0
6826,3150,District 1,William T. Lamar-Boone,0,0.0
6829,3151,Mayor,Ray Adam Basaldua,14,2.29
6830,3151,Mayor,Christopher T. Schuchardt,185,30.28
6831,3151,Mayor,Christopher Longoria,17,2.78
6832,3151,Mayor,Ron Nirenberg,292,47.79
6833,3151,Mayor,Armando Dominguez,1,0.16
6834,3151,Mayor,Michael Idrogo,2,0.33
6835,3151,Mayor,Gary Allen,70,11.46
6836,3151,Mayor,Michael Samaniego,17,2.78
6837,3151,Mayor,Diana Flores Uriegas,13,2.13
6840,3151,District 8,Manny Pelaez,370,66.19
6841,3151,District 8,Cesario Garcia,189,33.81
6844,3153,Mayor,Ray Adam Basaldua,1,0.26
6845,3153,Mayor,Christopher T. Schuchardt,121,31.11
6846,3153,Mayor,Christopher Longoria,13,3.34
6847,3153,Mayor,Ron Nirenberg,206,52.96
6848,3153,Mayor,Armando Dominguez,1,0.26
6849,3153,Mayor,Michael Idrogo,0,0.0
6850,3153,Mayor,Gary Allen,34,8.74
6851,3153,Mayor,Michael Samaniego,11,2.83
6852,3153,Mayor,Diana Flores Uriegas,2,0.51
