Precinct,Registered Voters,Ballots Cast,Voter Turnout (%)
3159,"2,461",188,15.81%
3160,"1,627",189,14.75%
3161,"2,672",284,17.40%
3162,"1,317",184,22.17%
3163,"2,606",404,24.29%
3164,11,1,18.18%
3165,"3,705",738,28.29%
3166,536,80,31.16%
3167,13,0,0.00%
3168,575,22,5.57%
3169,142,6,4.23%
3170,1,0,0.00%
3171,0,0,0.00%
3172,597,55,17.59%
3173,"3,687",486,20.72%
3174,"4,251",88,4.33%
3175,618,106,27.51%
3176,47,4,17.02%
3177,0,0,0.00%
3178,0,0,0.00%
3179,0,0,0.00%
3180,"1,129",187,24.71%
3181,"2,489",447,29.05%
3182,741,131,30.63%
3183,17,0,0.00%
3184,249,1,1.61%
3185,282,13,6.38%
3186,0,0,0.00%
3187,0,0,0.00%
3188,0,0,0.00%
3189,"1,075",39,7.53%
3190,426,18,4.69%
3191,233,10,6.87%
3192,0,0,0.00%
3193,211,30,23.70%
3195,"2,077",144,9.15%
3196,19,0,0.00%
3197,0,0,0.00%
3198,742,107,21.56%
3200,0,0,0.00%
3201,5,0,0.00%
3202,"1,189",9,1.35%
3203,492,7,2.03%
3204,0,0,0.00%
3205,1,0,0.00%
3206,171,17,20.47%
3207,1,0,0.00%
3208,90,7,11.11%
3209,764,70,11.78%
3210,"2,810",303,16.90%
4001,"3,107",373,19.09%
4002,"1,071",53,9.80%
4003,"1,421",103,12.24%
4004,"1,134",178,21.69%
4005,"1,771",198,19.59%
4006,653,72,16.54%
4007,"1,645",31,3.34%
4008,634,94,26.97%
4009,958,59,10.65%
4010,"1,514",78,9.51%
4011,"1,526",106,11.80%
4012,938,51,10.23%
4013,967,82,14.58%
4014,476,39,12.60%
4015,"1,777",196,18.23%
4016,"2,344",264,19.11%
4017,"2,192",318,23.49%
4018,995,309,40.30%
4019,"2,776",220,13.29%
4020,"1,331",61,8.11%
4021,"1,114",75,15.17%
4022,246,6,6.10%
4023,"2,359",299,20.98%
4024,"2,755",239,16.22%
4025,"1,275",105,15.92%
