Precinct,Race,Candidate,Total Votes,Vote Percentage
2055,Mayor,Ron Nirenberg (i),274,83.28
2055,Mayor,Armando Dominguez,0,0
2055,Mayor,Michael Idrogo,1,0.3
2055,Mayor,Gary Allen,6,1.82
2055,Mayor,Michael Samaniego,1,0.3
2055,Mayor,Diana Flores Uriegas,16,4.86
2055,District 1,Jeremy Roberts,66,20.69
2055,District 1,Roberto Rios Ortega,7,2.19
2055,District 1,Sukh Kaur,164,51.41
2055,District 1,Ernest Salinas,9,2.82
2055,District 1,Lauro Bustamante,4,1.25
2055,District 1,Mario Bravo (i),66,20.69
2055,District 1,William T. Lamar-Boone,3,0.94
2056,Mayor,Ray Adam Basaldua,4,1.66
2056,Mayor,Christopher T. Schuchardt,35,14.52
2056,Mayor,Christopher Longoria,4,1.66
2056,Mayor,Ron Nirenberg (i),170,70.54
2056,Mayor,Armando Dominguez,3,1.24
2056,Mayor,Michael Idrogo,1,0.41
2056,Mayor,Gary Allen,11,4.56
2056,Mayor,Michael Samaniego,3,1.24
2056,Mayor,Diana Flores Uriegas,10,4.15
2056,District 1,Jeremy Roberts,36,15.19
2056,District 1,Roberto Rios Ortega,9,3.8
2056,District 1,Sukh Kaur,55,23.21
2056,District 1,Ernest Salinas,16,6.75
2056,District 1,Lauro Bustamante,9,3.8
2056,District 1,Mario Bravo (i),106,44.73
2056,District 1,William T. Lamar-Boone,6,2.53
2057,Mayor,Ray Adam Basaldua,3,1.29
2057,Mayor,Christopher T. Schuchardt,28,12.02
2057,Mayor,Christopher Longoria,7,3
2057,Mayor,Ron Nirenberg (i),168,72.1
2057,Mayor,Armando Dominguez,1,0.43
2057,Mayor,Michael Idrogo,0,0
2057,Mayor,Gary Allen,6,2.58
2057,Mayor,Michael Samaniego,4,1.72
2057,Mayor,Diana Flores Uriegas,16,6.87
2057,District 1,Jeremy Roberts,33,14.73
2057,District 1,Roberto Rios Ortega,8,3.57
2057,District 1,Sukh Kaur,66,29.46
2057,District 1,Ernest Salinas,23,10.27
2057,District 1,Lauro Bustamante,11,4.91
2057,District 1,Mario Bravo (i),80,35.71
2057,District 1,William T. Lamar-Boone,3,1.34
2058,Mayor,Ray Adam Basaldua,6,2.3
2058,Mayor,Christopher T. Schuchardt,41,15.71
2058,Mayor,Christopher Longoria,7,2.68
2058,Mayor,Ron Nirenberg (i),177,67.82
2058,Mayor,Armando Dominguez,3,1.15
2058,Mayor,Michael Idrogo,1,0.38
2058,Mayor,Gary Allen,12,4.6
2058,Mayor,Michael Samaniego,3,1.15
2058,Mayor,Diana Flores Uriegas,11,4.21
2058,District 1,Jeremy Roberts,43,16.67
2058,District 1,Roberto Rios Ortega,16,6.2
2058,District 1,Sukh Kaur,71,27.52
2058,District 1,Ernest Salinas,25,9.69
2058,District 1,Lauro Bustamante,9,3.49
2058,District 1,Mario Bravo (i),90,34.88
2058,District 1,William T. Lamar-Boone,4,1.55
2059,Mayor,Ray Adam Basaldua,13,4.48
2059,Mayor,Christopher T. Schuchardt,47,16.21
2059,Mayor,Christopher Longoria,11,3.79
2059,Mayor,Ron Nirenberg (i),182,62.76
2059,Mayor,Armando Dominguez,5,1.72
2059,Mayor,Michael Idrogo,1,0.34
2059,Mayor,Gary Allen,15,5.17
2059,Mayor,Michael Samaniego,6,2.07
2059,Mayor,Diana Flores Uriegas,10,3.45
2059,District 1,Jeremy Roberts,48,16.78
2059,District 1,Roberto Rios Ortega,19,6.64
2059,District 1,Sukh Kaur,94,32.87
2059,District 1,Ernest Salinas,31,10.84
2059,District 1,Lauro Bustamante,14,4.9
2059,District 1,Mario Bravo (i),72,25.17
2059,District 1,William T. Lamar-Boone,8,2.8
2060,Mayor,Ray Adam Basaldua,7,2.33
2060,Mayor,Christopher T. Schuchardt,39,13
2060,Mayor,Christopher Longoria,7,2.33
2060,Mayor,Ron Nirenberg (i),221,73.67
2060,Mayor,Armando Dominguez,3,1
2060,Mayor,Michael Idrogo,3,1
2060,Mayor,Gary Allen,10,3.33
2060,Mayor,Michael Samaniego,2,0.67
2060,Mayor,Diana Flores Uriegas,8,2.67
2060,District 1,Jeremy Roberts,38,13.38
2060,District 1,Roberto Rios Ortega,17,5.99
2060,District 1,Sukh Kaur,111,39.08
2060,District 1,Ernest Salinas,25,8.8
2060,District 1,Lauro Bustamante,23,8.1
2060,District 1,Mario Bravo (i),63,22.18
2060,District 1,William T. Lamar-Boone,7,2.46
2062,Mayor,Ray Adam Basaldua,3,1.17
2062,Mayor,Christopher T. Schuchardt,57,22.27
2062,Mayor,Christopher Longoria,8,3.12
2062,Mayor,Ron Nirenberg (i),163,63.67
2062,Mayor,Armando Dominguez,3,1.17
2062,Mayor,Michael Idrogo,0,0
2062,Mayor,Gary Allen,12,4.69
2062,Mayor,Michael Samaniego,3,1.17
2062,Mayor,Diana Flores Uriegas,7,2.73
2062,District 1,Jeremy Roberts,34,13.39
2062,District 1,Roberto Rios Ortega,9,3.54
2062,District 1,Sukh Kaur,63,24.8
2062,District 1,Ernest Salinas,60,23.62
2062,District 1,Lauro Bustamante,11,4.33
2062,District 1,Mario Bravo (i),72,28.35
2062,District 1,William T. Lamar-Boone,5,1.97
2064,Mayor,Ray Adam Basaldua,7,1.73
2064,Mayor,Christopher T. Schuchardt,86,21.23
2064,Mayor,Christopher Longoria,8,1.98
2064,Mayor,Ron Nirenberg (i),256,63.21
2064,Mayor,Armando Dominguez,3,0.74
2064,Mayor,Michael Idrogo,0,0
2064,Mayor,Gary Allen,27,6.67
2064,Mayor,Michael Samaniego,7,1.73
2064,Mayor,Diana Flores Uriegas,11,2.72
2064,District 1,Jeremy Roberts,67,16.79
2064,District 1,Roberto Rios Ortega,15,3.76
2064,District 1,Sukh Kaur,116,29.07
2064,District 1,Ernest Salinas,75,18.8
2064,District 1,Lauro Bustamante,12,3.01
2064,District 1,Mario Bravo (i),110,27.57
2064,District 1,William T. Lamar-Boone,4,1
2066,Mayor,Ray Adam Basaldua,11,1.14
2066,Mayor,Christopher T. Schuchardt,227,23.57
2066,Mayor,Christopher Longoria,17,1.77
2066,Mayor,Ron Nirenberg (i),540,56.07
2066,Mayor,Armando Dominguez,4,0.42
2066,Mayor,Michael Idrogo,7,0.73
2066,Mayor,Gary Allen,94,9.76
2066,Mayor,Michael Samaniego,43,4.47
2066,Mayor,Diana Flores Uriegas,20,2.08
2066,District 7,Sandragrace Martinez,123,13.5
2066,District 7,Jacob B. Chapa,170,18.66
2066,District 7,Dan Rossiter,227,24.92
2066,District 7,Marina Alderete Gavito,347,38.09
2066,District 7,"Andrew ""AJ"" Luck",44,4.83
2067,Mayor,Ray Adam Basaldua,0,0
2067,Mayor,Christopher T. Schuchardt,9,14.29
2067,Mayor,Christopher Longoria,2,3.17
2067,Mayor,Ron Nirenberg (i),50,79.37
2067,Mayor,Armando Dominguez,0,0
2067,Mayor,Michael Idrogo,0,0
2067,Mayor,Gary Allen,1,1.59
2067,Mayor,Michael Samaniego,1,1.59
2067,Mayor,Diana Flores Uriegas,0,0
2067,District 1,Jeremy Roberts,14,23.33
2067,District 1,Roberto Rios Ortega,1,1.67
2067,District 1,Sukh Kaur,19,31.67
2067,District 1,Ernest Salinas,3,5
2067,District 1,Lauro Bustamante,2,3.33
2067,District 1,Mario Bravo (i),19,31.67
2067,District 1,William T. Lamar-Boone,2,3.33
2068,Mayor,Ray Adam Basaldua,21,2.13
2068,Mayor,Christopher T. Schuchardt,197,19.94
2068,Mayor,Christopher Longoria,35,3.54
2068,Mayor,Ron Nirenberg (i),562,56.88
2068,Mayor,Armando Dominguez,4,0.4
2068,Mayor,Michael Idrogo,5,0.51
2068,Mayor,Gary Allen,77,7.79
2068,Mayor,Michael Samaniego,55,5.57
2068,Mayor,Diana Flores Uriegas,32,3.24
2068,District 6,Irina Rudolph,425,44.27
2068,District 6,Melissa Cabello Havrda (i),459,47.81
2068,District 6,Chris Baecker,76,7.92
2069,Mayor,Ray Adam Basaldua,8,2.09
2069,Mayor,Christopher T. Schuchardt,69,18.02
2069,Mayor,Christopher Longoria,8,2.09
2069,Mayor,Ron Nirenberg (i),243,63.45
2069,Mayor,Armando Dominguez,2,0.52
2069,Mayor,Michael Idrogo,2,0.52
2069,Mayor,Gary Allen,28,7.31
2069,Mayor,Michael Samaniego,13,3.39
2069,Mayor,Diana Flores Uriegas,10,2.61
2069,District 6,Irina Rudolph,129,34.96
2069,District 6,Melissa Cabello Havrda (i),198,53.66
2069,District 6,Chris Baecker,42,11.38
2070,Mayor,Ray Adam Basaldua,3,1.46
2070,Mayor,Christopher T. Schuchardt,12,5.85
2070,Mayor,Christopher Longoria,7,3.41
2070,Mayor,Ron Nirenberg (i),157,76.59
2070,Mayor,Armando Dominguez,5,2.44
2070,Mayor,Michael Idrogo,3,1.46
2070,Mayor,Gary Allen,6,2.93
2070,Mayor,Michael Samaniego,4,1.95
2070,Mayor,Diana Flores Uriegas,8,3.9
2070,District 5,Arturo Espinosa,10,4.83
2070,District 5,Teri Castillo (i),127,61.35
2070,District 5,Rudy Lopez,70,33.82
2071,Mayor,Ray Adam Basaldua,1,1.64
2071,Mayor,Christopher T. Schuchardt,3,4.92
2071,Mayor,Christopher Longoria,2,3.28
2071,Mayor,Ron Nirenberg (i),47,77.05
2071,Mayor,Armando Dominguez,2,3.28
2071,Mayor,Michael Idrogo,0,0
2071,Mayor,Gary Allen,3,4.92
2071,Mayor,Michael Samaniego,1,1.64
2071,Mayor,Diana Flores Uriegas,2,3.28
2071,District 5,Arturo Espinosa,1,1.69
2071,District 5,Teri Castillo (i),42,71.19
2071,District 5,Rudy Lopez,16,27.12
2072,Mayor,Ray Adam Basaldua,16,2.83
2072,Mayor,Christopher T. Schuchardt,112,19.79
2072,Mayor,Christopher Longoria,14,2.47
2072,Mayor,Ron Nirenberg (i),297,52.47
2072,Mayor,Armando Dominguez,5,0.88
2072,Mayor,Michael Idrogo,1,0.18
2072,Mayor,Gary Allen,50,8.83
2072,Mayor,Michael Samaniego,57,10.07
2072,Mayor,Diana Flores Uriegas,14,2.47
2072,District 6,Irina Rudolph,171,32.33
2072,District 6,Melissa Cabello Havrda (i),270,51.04
2072,District 6,Chris Baecker,88,16.64
2073,Mayor,Ray Adam Basaldua,5,2.6
2073,Mayor,Christopher T. Schuchardt,38,19.79
2073,Mayor,Christopher Longoria,12,6.25
2073,Mayor,Ron Nirenberg (i),117,60.94
2073,Mayor,Armando Dominguez,3,1.56
2073,Mayor,Michael Idrogo,0,0
2073,Mayor,Gary Allen,9,4.69
2073,Mayor,Michael Samaniego,1,0.52
2073,Mayor,Diana Flores Uriegas,7,3.65
2073,District 1,Jeremy Roberts,30,15.87
2073,District 1,Roberto Rios Ortega,11,5.82
2073,District 1,Sukh Kaur,55,29.1
2073,District 1,Ernest Salinas,24,12.7
2073,District 1,Lauro Bustamante,7,3.7
2073,District 1,Mario Bravo (i),57,30.16
