Precinct,Race,Candidate,Total Votes,Vote Percentage
4165,District 3,Phyllis Viagran,0.0,0.0
4166,District 2,Jada Andrews-Sullivan,0.0,0.0
4166,District 2,Jalen McKee-Rodriguez,6.0,100.0
4167,District 2,Jada Andrews-Sullivan,1.0,50.0
4167,District 2,Jalen McKee-Rodriguez,1.0,50.0
4175,District 2,Jada Andrews-Sullivan 0 0,,
4175,District 2,Jalen McKee-Rodriguez 0 0,,
4177,District 2,Jada Andrews-Sullivan,4.0,100.0
4177,District 2,Jalen McKee-Rodriguez,0.0,0.0
4178,District 2,Jada Andrews-Sullivan,0.0,0.0
4178,District 2,Jalen McKee-Rodriguez,1.0,100.0
4180,District 3,Tomas Uresti 0 0,,
4180,District 3,Phyllis Viagran 0 0,,
4181,District 2,Jada Andrews-Sullivan,0.0,0.0
4181,District 2,Jalen McKee-Rodriguez,1.0,100.0
4183,District 2,Jada Andrews-Sullivan,2.0,11.76
4183,District 2,Jalen McKee-Rodriguez,15.0,88.24
4184,District 2,Jada Andrews-Sullivan,0.0,0.0
4184,District 2,Jalen McKee-Rodriguez,2.0,100.0
4186,District 2,Jada Andrews-Sullivan,8.0,40.0
4186,District 2,Jalen McKee-Rodriguez,12.0,60.0
4190,District 2,Jada Andrews-Sullivan 0 0,,
4190,District 2,Jalen McKee-Rodriguez 0 0,,
4193,District 2,Jada Andrews-Sullivan,1.0,50.0
4193,District 2,Jalen McKee-Rodriguez,1.0,50.0
4200,District 3,Tomas Uresti,60.0,36.81
4200,District 3,Phyllis Viagran,103.0,63.19
4202,District 3,Tomas Uresti 0 0,,
4202,District 3,Phyllis Viagran 0 0,,
4203,District 1,Mario Bravo,8.0,53.33
4203,District 1,Roberto C. Treviño,7.0,46.67
4204,District 3,Tomas Uresti 0 0,,
4204,District 3,Phyllis Viagran 0 0,,
4206,District 2,Jada Andrews-Sullivan,1.0,20.0
4206,District 2,Jalen McKee-Rodriguez,4.0,80.0
4207,District 2,Jada Andrews-Sullivan 0 0,,
4207,District 2,Jalen McKee-Rodriguez 0 0,,
4208,District 3,Tomas Uresti 0 0,,
4208,District 3,Phyllis Viagran 0 0,,
4211,District 1,Mario Bravo,4.0,100.0
4211,District 1,Roberto C. Treviño,0.0,0.0
4212,District 2,Jada Andrews-Sullivan 0 0,,
4212,District 2,Jalen McKee-Rodriguez 0 0,,
4213,District 2,Jada Andrews-Sullivan 0 0,,
4213,District 2,Jalen McKee-Rodriguez 0 0,,
