Precinct,Race,Candidate,Total Votes
1023,For Mayor City of San Antonio,Christopher Longoria,8
1023,For Mayor City of San Antonio,Ron Nirenberg,132
1023,For Mayor City of San Antonio,Armando Dominguez,2
1023,For Mayor City of San Antonio,Michael Idrogo,0
1023,For Mayor City of San Antonio,Gary Allen,7
1023,For Mayor City of San Antonio,Michael Samaniego,3
1023,For Mayor City of San Antonio,Diana Flores Uriegas,5
1023,"For Council, City of San Antonio, District 5",Vote,For
1023,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1023,"For Council, City of San Antonio, District 5",Arturo Espinosa,14
1023,"For Council, City of San Antonio, District 5",Teri Castillo,92
1023,"For Council, City of San Antonio, District 5",Rudy Lopez,62
1024,For Mayor City of San Antonio,Vote,For
1024,For Mayor City of San Antonio,TOTAL,VOTE
1024,For Mayor City of San Antonio,Ray Adam Basaldua,13
1024,For Mayor City of San Antonio,Christopher T. Schuchardt,67
1024,For Mayor City of San Antonio,Christopher Longoria,9
1024,For Mayor City of San Antonio,Ron Nirenberg,245
1024,For Mayor City of San Antonio,Armando Dominguez,7
1024,For Mayor City of San Antonio,Michael Idrogo,3
1024,For Mayor City of San Antonio,Gary Allen,33
1024,For Mayor City of San Antonio,Michael Samaniego,16
1024,For Mayor City of San Antonio,Diana Flores Uriegas,18
1024,"For Council, City of San Antonio, District 4",Vote,For
1024,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1024,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,259
1024,"For Council, City of San Antonio, District 4",Gregorio De La Paz,77
1025,For Mayor City of San Antonio,Vote,For
1025,For Mayor City of San Antonio,TOTAL,VOTE
1025,For Mayor City of San Antonio,Ray Adam Basaldua,0
1025,For Mayor City of San Antonio,Christopher T. Schuchardt,0
1025,For Mayor City of San Antonio,Christopher Longoria,0
1025,For Mayor City of San Antonio,Ron Nirenberg,23
1025,For Mayor City of San Antonio,Armando Dominguez,2
1025,For Mayor City of San Antonio,Michael Idrogo,0
1025,For Mayor City of San Antonio,Gary Allen,4
1025,For Mayor City of San Antonio,Michael Samaniego,0
1025,For Mayor City of San Antonio,Diana Flores Uriegas,0
1025,"For Council, City of San Antonio, District 5",Vote,For
1025,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1025,"For Council, City of San Antonio, District 5",Arturo Espinosa,4
1025,"For Council, City of San Antonio, District 5",Teri Castillo,16
1025,"For Council, City of San Antonio, District 5",Rudy Lopez,9
1026,For Mayor City of San Antonio,Vote,For
1026,For Mayor City of San Antonio,TOTAL,VOTE
1026,For Mayor City of San Antonio,Ray Adam Basaldua,5
1026,For Mayor City of San Antonio,Christopher T. Schuchardt,10
1026,For Mayor City of San Antonio,Christopher Longoria,1
1026,For Mayor City of San Antonio,Ron Nirenberg,45
1026,For Mayor City of San Antonio,Armando Dominguez,1
1026,For Mayor City of San Antonio,Michael Idrogo,0
1026,For Mayor City of San Antonio,Gary Allen,3
1026,For Mayor City of San Antonio,Michael Samaniego,2
1026,For Mayor City of San Antonio,Diana Flores Uriegas,3
1026,"For Council, City of San Antonio, District 5",Vote,For
1026,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1026,"For Council, City of San Antonio, District 5",Arturo Espinosa,2
1026,"For Council, City of San Antonio, District 5",Teri Castillo,40
1026,"For Council, City of San Antonio, District 5",Rudy Lopez,24
1028,For Mayor City of San Antonio,Vote,For
1028,For Mayor City of San Antonio,TOTAL,VOTE
1028,For Mayor City of San Antonio,Ray Adam Basaldua,1
1028,For Mayor City of San Antonio,Christopher T. Schuchardt,13
1028,For Mayor City of San Antonio,Christopher Longoria,4
1028,For Mayor City of San Antonio,Ron Nirenberg,50
1028,For Mayor City of San Antonio,Armando Dominguez,1
1028,For Mayor City of San Antonio,Michael Idrogo,0
1028,For Mayor City of San Antonio,Gary Allen,6
1028,For Mayor City of San Antonio,Michael Samaniego,0
1028,For Mayor City of San Antonio,Diana Flores Uriegas,3
1028,"For Council, City of San Antonio, District 5",Vote,For
1028,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1028,"For Council, City of San Antonio, District 5",Arturo Espinosa,8
1028,"For Council, City of San Antonio, District 5",Teri Castillo,40
1028,"For Council, City of San Antonio, District 5",Rudy Lopez,26
1029,For Mayor City of San Antonio,Vote,For
1029,For Mayor City of San Antonio,TOTAL,VOTE
1029,For Mayor City of San Antonio,Ray Adam Basaldua,5
1029,For Mayor City of San Antonio,Christopher T. Schuchardt,22
1029,For Mayor City of San Antonio,Christopher Longoria,6
1029,For Mayor City of San Antonio,Ron Nirenberg,153
1029,For Mayor City of San Antonio,Armando Dominguez,3
1029,For Mayor City of San Antonio,Michael Idrogo,2
1029,For Mayor City of San Antonio,Gary Allen,6
1029,For Mayor City of San Antonio,Michael Samaniego,5
1029,For Mayor City of San Antonio,Diana Flores Uriegas,14
1029,"For Council, City of San Antonio, District 5",Vote,For
1029,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1029,"For Council, City of San Antonio, District 5",Arturo Espinosa,8
1029,"For Council, City of San Antonio, District 5",Teri Castillo,112
1029,"For Council, City of San Antonio, District 5",Rudy Lopez,93
1030,For Mayor City of San Antonio,Vote,For
1030,For Mayor City of San Antonio,TOTAL,VOTE
1030,For Mayor City of San Antonio,Ray Adam Basaldua,0
1030,For Mayor City of San Antonio,Christopher T. Schuchardt,0
1030,For Mayor City of San Antonio,Christopher Longoria,0
1030,For Mayor City of San Antonio,Ron Nirenberg,3
1030,For Mayor City of San Antonio,Armando Dominguez,0
1030,For Mayor City of San Antonio,Michael Idrogo,0
1030,For Mayor City of San Antonio,Gary Allen,0
1030,For Mayor City of San Antonio,Michael Samaniego,0
1030,For Mayor City of San Antonio,Diana Flores Uriegas,0
1030,"For Council, City of San Antonio, District 4",Vote,For
1030,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1030,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,3
1030,"For Council, City of San Antonio, District 4",Gregorio De La Paz,0
1031,For Mayor City of San Antonio,Vote,For
1031,For Mayor City of San Antonio,TOTAL,VOTE
1031,For Mayor City of San Antonio,Ray Adam Basaldua,3
1031,For Mayor City of San Antonio,Christopher T. Schuchardt,17
1031,For Mayor City of San Antonio,Christopher Longoria,4
1031,For Mayor City of San Antonio,Ron Nirenberg,85
1031,For Mayor City of San Antonio,Armando Dominguez,0
1031,For Mayor City of San Antonio,Michael Idrogo,1
1031,For Mayor City of San Antonio,Gary Allen,6
1031,For Mayor City of San Antonio,Michael Samaniego,8
1031,For Mayor City of San Antonio,Diana Flores Uriegas,10
1031,"For Council, City of San Antonio, District 5",Vote,For
1031,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1031,"For Council, City of San Antonio, District 5",Arturo Espinosa,5
1031,"For Council, City of San Antonio, District 5",Teri Castillo,61
1031,"For Council, City of San Antonio, District 5",Rudy Lopez,74
1032,For Mayor City of San Antonio,Vote,For
1032,For Mayor City of San Antonio,TOTAL,VOTE
1032,For Mayor City of San Antonio,Ray Adam Basaldua,3
1032,For Mayor City of San Antonio,Christopher T. Schuchardt,13
1032,For Mayor City of San Antonio,Christopher Longoria,6
1032,For Mayor City of San Antonio,Ron Nirenberg,144
1032,For Mayor City of San Antonio,Armando Dominguez,3
1032,For Mayor City of San Antonio,Michael Idrogo,0
1032,For Mayor City of San Antonio,Gary Allen,4
1032,For Mayor City of San Antonio,Michael Samaniego,3
1032,For Mayor City of San Antonio,Diana Flores Uriegas,9
1032,"For Council, City of San Antonio, District 5",Vote,For
1032,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1032,"For Council, City of San Antonio, District 5",Arturo Espinosa,5
1032,"For Council, City of San Antonio, District 5",Teri Castillo,105
