Precinct,Race,Candidate,Total Votes
2161,"For Council, City of San Antonio, District 7",Dan Rossiter,16
2161,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,13
2163,"For Council, City of San Antonio, District 7",Vote,For
2163,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2163,"For Council, City of San Antonio, District 7",Dan Rossiter,87
2163,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,85
2164,"For Council, City of San Antonio, District 7",Vote,For
2164,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2164,"For Council, City of San Antonio, District 7",Dan Rossiter,24
2164,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,52
2165,"For Council, City of San Antonio, District 7",Vote,For
2165,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2165,"For Council, City of San Antonio, District 7",Dan Rossiter,68
2165,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,112
2166,"For Council, City of San Antonio, District 7",Vote,For
2166,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2166,"For Council, City of San Antonio, District 7",Dan Rossiter,54
2166,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,90
2168,"For Council, City of San Antonio, District 7",Vote,For
2168,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2168,"For Council, City of San Antonio, District 7",Dan Rossiter,32
2168,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,45
2169,"For Council, City of San Antonio, District 7",Vote,For
2169,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2169,"For Council, City of San Antonio, District 7",Dan Rossiter,39
2169,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,73
2170,"For Council, City of San Antonio, District 7",Vote,For
2170,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2170,"For Council, City of San Antonio, District 7",Dan Rossiter,62
2170,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,89
2171,"For Council, City of San Antonio, District 7",Vote,For
2171,"For Council, City of San Antonio, District 7",TOTAL,VOTE
