OBJECTID,NAME,STATESENAT,CONG,STATEREP,ShapeSTArea,ShapeSTLength
359,2078,26,20,125,14386189.015625,16489.4880229144
360,2097,26,20,125,24503174.3261719,30561.6875904289
361,2088,26,20,125,24620973.8007812,26387.4581547421
362,2102,26,20,125,14726779.2050781,22137.7265840835
363,2127,26,20,125,13038650.2324219,16693.8480893369
364,2072,26,20,125,16911546.9257812,20407.1879315779
365,2087,26,20,125,12734871.8261719,16215.6978196172
366,2123,19,23,122,30226960.8027344,47884.8133916706
367,2076,26,23,125,16356664.0507812,22941.0666829319
368,2139,19,23,125,13186596.7285156,15830.8472206771
369,2066,19,23,125,27809654.1386719,22454.2130826326
370,2145,26,20,125,2606549.38085938,7549.67509694284
371,2130,26,20,125,12936442.9101562,19949.9180157519
372,2126,26,20,125,35447174.2675781,33611.9868473697
373,2086,26,20,125,31571288.0605469,28329.9546613327
374,2084,26,23,125,30914204.8320312,22723.2144223184
375,2099,19,23,125,9506655.609375,14752.098323682
376,2170,19,20,125,37237759.7636719,24513.1304603819
377,2161,26,23,125,8156770.421875,15157.4208803891
378,2037,26,23,125,12175167.6269531,17443.6922073221
379,2165,19,20,125,17244404.96875,17813.9460954302
380,3106,19,23,122,72052709.0722656,65596.5651569902
381,3101,19,23,122,35076977.6484375,45592.7770537706
382,3009,25,23,122,17874118.5214844,20136.0276658741
383,3134,19,20,116,36690335.0683594,35849.876381051
384,3129,19,20,116,30570385.4511719,28720.0529829772
385,3098,19,23,122,33107273.8339844,29414.6250745213
386,2112,26,20,125,24870099.4023438,31876.8374637509
387,2171,26,20,125,12221618.3496094,14976.7407832284
388,3087,25,21,118,30848979.125,33717.6414240357
389,4076,26,35,120,39420635.8378906,33012.7673609447
390,4152,26,35,120,19394111.0507812,21384.0938843366
391,4061,26,35,120,20933415.4648438,19861.1524849095
392,4088,26,35,120,34296368.1601562,34870.5722470901
393,4060,26,35,120,20940868.0957031,24690.6629572102
394,4092,26,28,120,10186721.4140625,16601.6021715337
395,4053,26,35,120,24855839.3828125,22827.6869195681
396,4093,26,35,119,27783629.5332031,25199.911925407
397,4115,26,21,119,9244208.14453125,14633.3654738002
398,4090,26,28,119,18524601.6738281,18141.3264701365
399,4163,26,35,120,12796711.9863281,24332.2214226162
400,4114,26,35,120,5891180.546875,18495.9267816146
401,4067,26,35,119,30712742.8144531,50580.4175053815
402,4059,26,28,119,27452669.2636719,28391.112944833
403,4162,26,28,119,21288199.453125,28882.0626862686
404,4055,19,28,118,25811023.9941406,22973.8536104683
405,4130,19,28,119,9696663.26367188,19935.2469752861
406,4079,19,28,118,15145223.7636719,21160.5486685053
407,4089,19,28,119,34061599.9824219,29980.8042499696
408,4199,26,35,119,17224533.4824219,17852.7740428979
409,4100,19,35,118,29336530.8847656,23517.8303466077
410,4104,26,21,118,35913366.3671875,26983.7526267299
411,4116,25,28,118,4689835.81445312,11054.3178903215
412,4105,25,35,118,38560824.7441406,30583.7389430974
413,4097,25,35,118,29696212.9589844,26286.8824619362
414,4164,19,28,118,19628926.8378906,21257.9808975796
415,4057,19,28,118,22914150.9023438,24982.0750399201
416,3173,25,23,122,28215481.0742188,25601.9315684721
417,3163,25,23,122,16089183.1875,21681.7562309515
418,3148,25,23,122,41040721.9707031,35021.0286994061
419,3155,25,23,122,44584375.8828125,33278.5475294472
420,3089,25,23,122,77507320.9882812,49499.3939851076
421,3139,25,21,121,41581290.6269531,37277.1549727014
422,3065,25,21,121,31060084.1074219,32270.6107956662
423,3125,25,23,121,62296811.4921875,38335.8311577507
424,3114,25,21,121,23505308.4511719,25381.6961048174
425,3165,25,21,121,24496277.1132812,27871.6254841566
426,3007,25,21,121,55462190.2070312,41417.3619138111
427,3123,25,23,121,65287900.859375,34846.0235243548
428,3005,25,23,122,199044087.046875,70644.1924379363
429,3088,25,21,121,214638215.515625,85927.6459636037
430,3201,25,21,121,410988870.560547,135059.58732861
431,3170,25,21,121,102655480.460938,67271.2258921505
432,4078,21,28,118,307290501.421875,89608.4357543424
433,4137,19,28,118,79895494.9355469,46677.7219781798
434,4096,26,35,119,46201926.0527344,28871.9336746141
435,4195,26,35,120,8064218.609375,19383.4602674348
436,4050,26,21,120,21092485.9726562,18813.4893498119
437,4049,26,35,120,38713410.6699219,38691.2532741014
438,4051,26,21,120,19841591.9140625,18601.0999779599
439,4021,26,35,121,24818085.1992188,33465.9257621823
440,4095,26,21,119,14726574.6875,18614.6100075723
441,4052,26,21,120,14547530.984375,16112.8514547096
442,3040,25,21,121,17786532.3515625,18112.0928055764
443,3157,25,21,121,24126686.6347656,28603.277121004
444,4173,25,21,121,43995976.765625,37578.1893400159
445,3084,25,21,121,48891855.1523438,31377.6493708409
446,3108,25,21,121,18384835.7558594,19229.1232924814
447,3110,25,21,118,23245358.1054688,26266.2752920455
448,4171,25,21,118,10981863.6347656,17675.3891658011
449,4094,26,21,119,31172847.6386719,31837.805717398
450,4172,25,21,118,16444998.546875,19508.7528949978
451,3028,25,21,118,17588285.6152344,20430.6207427262
452,4108,26,21,118,25984407.0175781,21328.5082805562
453,4179,25,21,118,17311575.7148438,18405.6229458947
454,3100,25,21,118,27919500.4121094,23795.2748161889
455,4005,26,35,120,24591451.0097656,30189.0179447055
456,2035,26,35,123,12523918.0175781,21817.6477689652
457,4006,26,35,123,4646549.51367188,10405.329348154
458,4122,26,35,120,434397.236328125,3319.15511032823
459,3205,26,35,120,443645.666015625,3237.58754380802
460,4119,26,35,120,2156671.50195312,6255.8132490867
461,2036,26,35,123,11751752.5683594,16677.3688906586
462,2055,26,35,123,14469603.9042969,17149.075774343
463,2054,26,35,123,15723112.0957031,18805.1258158129
464,3018,25,21,121,17358780.578125,23420.6006276986
465,2094,26,21,123,4468840.171875,12713.3647957755
466,3141,26,35,123,16069261.0390625,19870.1941645638
467,3053,25,21,121,37533370.9179688,45479.9690526626
468,3020,25,21,121,23764314.4980469,21805.4203441192
469,3026,25,21,121,13227142.7910156,16821.342437153
470,4010,19,35,120,26929619.7753906,28170.0850211877
471,4009,26,35,120,14449495.5800781,19454.7298633353
472,4110,26,35,120,9606898.00585938,15513.5935718894
473,4008,26,21,120,11391493.1171875,14879.5023712987
474,3025,25,21,121,14213983.0546875,17278.8234228122
475,3021,25,21,121,27907900.9453125,23522.4823908037
476,4112,26,21,121,4884278.90234375,10162.4662871547
477,4007,26,21,120,146044099.914062,77704.2900923549
478,3022,25,21,121,16994603.2070312,22144.4148183442
479,2144,26,20,123,17000732.2128906,17444.9417967071
480,2121,26,20,123,12895578.6914062,21759.369320591
481,2135,26,20,123,7381161.734375,13142.7399716086
482,2109,26,20,123,513733.47265625,5571.22360601036
483,2129,25,21,123,24405.94140625,852.796092848337
484,2010,26,21,123,23667478.4648438,26332.6993178574
485,2150,26,21,123,1590223.10351562,5245.39963809317
486,3063,26,21,123,22861272.9628906,20685.6191649348
487,3080,25,21,121,135530828.466797,52173.7093239811
488,3046,25,21,121,10603691.7714844,14082.6993782446
489,3047,25,21,121,13758103.8632812,15199.6459401042
490,3027,25,21,121,11833520.1777344,15406.0233677356
491,3156,25,21,121,1622101.09960938,9944.03572109439
492,4038,25,21,120,20356307.921875,23887.3435004672
493,3048,25,21,121,13531499.1894531,16268.560944873
494,3049,25,21,121,24741327.2363281,21000.659957234
495,3050,25,21,121,19366048.4472656,24958.4910285308
496,3061,25,21,123,35242153.8261719,26347.3089514026
497,3060,25,21,121,31510167.3613281,24243.0911421194
498,3079,25,21,122,34618255.2988281,26757.2899832361
499,3091,25,21,122,62193118.8652344,37186.0877900613
500,3117,25,21,121,28408239.6894531,28794.5807142465
501,3081,25,21,121,17188012.9707031,18365.6650241439
502,3092,25,21,122,40742612.3769531,37423.9194487818
503,1129,19,20,117,70050823.6777344,42956.2805660416
504,2065,19,20,125,23873500.3476562,26150.2006830423
505,3043,25,23,122,48443420.3222656,35488.1278260416
506,3124,25,21,121,145495518.730469,76132.017952021
507,3093,25,23,122,45795813.765625,29702.028776204
508,3105,25,21,118,26516957.2441406,25489.5513761001
509,2176,19,23,125,19059710.0097656,19045.9954649238
510,3010,26,20,116,5114862.20507812,12985.5233383606
511,3051,25,23,122,11369075.1933594,18796.8749555191
512,3128,25,23,122,5863784.18554688,20155.1184580032
513,2167,26,20,116,15800209.7011719,25487.905279944
514,2162,26,20,116,10517472.0488281,14525.0529665692
515,2122,26,20,116,7415198.73828125,13984.8467692478
516,2113,26,20,116,1201541.94140625,7534.01452328347
